orderid,discount,profit,quantity,sales,profit_margin
US-2020-103800-1,0.2,5.5512,2,16.448,0.3375
US-2020-112326-2,0.8,-5.487,2,3.54,-1.55
US-2020-112326-3,0.2,4.2717,3,11.784,0.3625
US-2020-112326-4,0.2,-64.7748,3,272.736,-0.2375
US-2020-141817-5,0.2,4.884,3,19.536,0.25
US-2020-106054-6,0,5.2398,3,12.78,0.41
US-2020-130813-7,0,9.3312,3,19.44,0.48
US-2020-167199-8,0,746.4078,9,2573.82,0.29
US-2020-167199-9,0,1.4796,2,5.48,0.27
US-2020-167199-10,0,274.491,2,609.98,0.45
US-2020-167199-11,0,0.3112,4,31.12,0.01
US-2020-167199-12,0,3.0084,1,6.54,0.46
US-2020-167199-13,0,204.1092,4,755.96,0.27
US-2020-167199-14,0,113.6742,2,391.98,0.29
US-2020-105417-15,0.6,-53.7096,3,76.728,-0.7
US-2020-105417-16,0.8,-18.2525,7,10.43,-1.75
US-2020-135405-17,0.2,1.168,2,9.344,0.125
US-2020-135405-18,0.2,9.75,3,31.2,0.3125
US-2020-149020-19,0,21.2954,1,51.94,0.41
US-2020-149020-20,0,1.3583,1,2.89,0.47
US-2020-130092-21,0,3.0814,2,9.94,0.31
US-2020-109232-22,0,87.3504,6,545.94,0.16
US-2020-118192-23,0.7,-2.5212,2,3.438,-0.733333333
US-2020-118192-24,0.2,13.0928,7,37.408,0.35
US-2020-157147-25,0.15,3.9294,3,333.999,0.011764706
US-2020-157147-26,0,6.567,5,19.9,0.33
US-2020-157147-27,0,238.653,5,1325.85,0.18
US-2020-162775-28,0,2.7072,3,5.64,0.48
US-2020-162775-29,0,25.47,3,50.94,0.5
US-2020-162775-30,0,5.3392,2,11.36,0.47
US-2020-162775-31,0,34.3548,6,572.58,0.06
US-2020-162775-32,0,258.696,6,646.74,0.4
US-2020-149524-33,0.5,-53.2856,4,61.96,-0.86
US-2020-103366-34,0,65.978,5,149.95,0.44
US-2020-115791-35,0.2,28.5984,6,127.104,0.225
US-2020-115791-36,0.7,-13.6312,2,18.588,-0.733333333
US-2020-115791-37,0.2,10.1493,3,30.072,0.3375
US-2020-115791-38,0.4,-31.05,3,124.2,-0.25
US-2020-123477-39,0.2,6.4864,4,64.864,0.1
US-2020-146591-40,0.7,-320.597,5,181.47,-1.766666667
US-2020-146591-41,0.7,-23.716,10,32.34,-0.733333333
US-2020-146591-42,0.2,36.693,5,108.72,0.3375
US-2020-146591-43,0.2,19.6224,4,56.064,0.35
US-2020-147627-44,0,224.2674,3,1067.94,0.21
US-2020-147627-45,0,11.58,4,38.6,0.3
US-2020-147627-46,0,6.6584,7,22.96,0.29
